Ship_Size,Engine_Power_kW,Speed_knots,Fuel_Consumption_tonnes_per_hour
Very Large,50502.35,21.9,332.53
Very Large,63425.25,24.9,474.24
Large,32731.16,22.1,108.73
Very Large,53289.91,27.1,432.61
Large,26530.99,24.7,98.14
Small,4510.91,12.1,0.54
Large,26653.38,22.8,91.17
Medium,14115.28,19.9,14.02
Very Large,50498.46,20.8,315.83
Large,28603.01,20.6,88.37
Small,4345.32,13.4,0.58
Large,26199.3,23.7,93.3
Medium,16986.23,16.1,13.65
Very Large,81527.8,27.5,671.93
Large,49422.84,16.6,122.74
Large,38819.42,19.7,114.81
Small,1341.08,10.3,0.14
Small,3783.97,13.7,0.52
Large,30961.01,23.4,108.75
Medium,8489.06,12.9,5.49
Medium,5136.47,12.6,3.24
Large,46039.0,20.0,138.1
Large,33798.26,21.1,106.82
Medium,19558.32,16.5,16.11
Small,1708.7,12.5,0.21
Small,3633.63,13.4,0.49
Medium,7166.55,15.5,5.57
Small,1927.8,12.4,0.24
Small,538.23,13.8,0.07
Medium,9278.18,16.4,7.62
Medium,16323.99,19.6,16.03
Small,3171.42,13.0,0.41
Medium,13654.04,13.2,9.04
Very Large,90937.34,21.2,577.46
Medium,10796.94,15.4,8.29
Large,36492.94,19.5,106.87
Very Large,94062.9,20.8,586.35
Very Large,91280.17,20.6,564.11
Small,2167.21,12.8,0.28
Small,3479.5,14.6,0.51
Medium,6299.3,17.4,5.47
Medium,10095.39,17.8,8.96
Small,1359.78,14.0,0.19
Very Large,58860.75,27.0,475.91
Large,45631.99,22.5,153.94
Very Large,95453.13,20.3,581.06
Very Large,96037.82,25.8,743.79
Small,2978.11,14.7,0.44
Very Large,90355.35,25.2,683.98
Medium,8875.89,18.5,8.23
Very Large,96828.51,23.1,670.54
Large,22602.46,21.1,71.38
Small,663.53,10.5,0.07
Medium,14941.79,16.7,12.49
Large,35050.97,22.3,117.01
Very Large,76225.03,26.5,606.42
Large,36224.81,23.2,125.97
Very Large,64292.07,20.7,399.47
Very Large,77793.54,27.0,630.02
Large,44533.65,20.5,136.9
Small,2861.03,13.2,0.38
Very Large,72820.67,26.1,570.12
Small,884.31,12.2,0.11
Medium,8401.01,16.8,7.06
Medium,18421.21,14.1,13.03
Large,27892.4,22.2,93.07
Medium,15285.69,18.9,14.42
Large,25940.09,19.4,75.41
Small,1302.49,11.2,0.15
Medium,12817.61,13.2,8.46
Medium,7024.68,14.4,5.05
Medium,10385.01,18.5,9.59
Small,3859.03,14.5,0.56
Very Large,53642.26,29.3,471.94
Very Large,57599.01,21.3,368.11
Small,3408.64,14.4,0.49
Large,21897.6,16.3,53.6
Small,3233.62,12.6,0.41
Medium,13329.44,16.2,10.81
Medium,18136.44,18.0,16.34
Large,29281.06,21.9,96.37
Medium,11013.23,14.4,7.92
Small,2945.68,10.4,0.31
Large,44091.11,19.2,126.67
Medium,17048.18,16.5,14.06
Very Large,85978.96,23.6,608.44
Small,4139.86,11.5,0.47
Medium,5372.89,12.0,3.23
Large,29083.03,19.6,85.48
Small,4093.18,11.3,0.46
Large,39843.99,24.0,143.63
Very Large,74909.94,24.4,548.04
Medium,17356.17,18.9,16.36
Small,1192.83,13.5,0.16
Large,26922.04,17.9,72.33
Small,4490.78,14.4,0.65
Medium,11415.04,16.8,9.57
Medium,16798.75,12.1,10.2
Small,4826.95,14.0,0.68
Very Large,50205.31,20.1,302.89
Medium,10168.95,13.3,6.76
Very Large,85439.96,21.8,558.23
Small,1571.56,14.7,0.23
Small,3939.13,13.9,0.55
Large,45855.31,19.8,135.99
Small,4469.93,12.2,0.54
Large,49784.96,19.1,142.48
Small,1013.83,12.6,0.13
Large,22593.73,15.0,50.88
Small,1290.11,10.9,0.14
Medium,19988.11,14.3,14.29
Small,3191.84,13.0,0.42
Small,1783.34,14.0,0.25
Small,3019.08,12.6,0.38
Small,4465.84,11.6,0.52
Very Large,75566.95,28.1,636.28
Very Large,58236.54,24.3,424.51
Very Large,57845.86,20.2,349.68
Large,49678.4,15.5,115.86
Medium,11391.84,16.4,9.35
Large,29478.07,22.3,98.57
Medium,16675.09,19.5,16.28
Medium,17758.7,16.4,14.57
Small,1998.3,10.6,0.21
Small,1926.11,12.3,0.24
Small,1645.98,15.0,0.25
Small,941.2,12.6,0.12
Small,3109.12,13.1,0.41
Very Large,73217.51,24.3,534.47
Large,44543.13,24.6,164.22
Very Large,66685.21,23.2,463.42
Small,948.94,10.3,0.1
Large,43866.33,19.8,130.1
Small,746.21,12.7,0.09
Medium,17892.54,17.7,15.82
Large,44004.58,24.3,160.54
Medium,19486.56,13.7,13.37
Medium,5898.88,16.1,4.76
Very Large,83804.65,24.1,604.65
Very Large,92647.21,23.9,663.62
Very Large,95926.08,29.0,835.74
Medium,10854.32,12.8,6.97
Large,24781.85,24.7,91.74
Small,3161.08,13.6,0.43
Medium,6281.13,19.3,6.05
Large,45123.53,18.1,122.5
Small,3195.55,10.4,0.33
Medium,11478.78,15.1,8.66
Large,43438.72,15.2,99.0
Large,35245.06,22.4,118.18
Small,4593.14,13.2,0.6
Medium,8392.27,19.0,7.97
Large,22331.37,20.3,68.08
Large,41454.1,18.1,112.86
Medium,13671.08,19.7,13.44
Large,32825.23,22.3,109.94
Very Large,67011.15,28.6,574.14
Small,2652.28,10.9,0.29
Medium,16531.46,14.1,11.68
Small,544.01,10.4,0.06
Very Large,73274.35,29.4,646.98
Large,48099.84,16.1,115.89
Small,1172.3,12.5,0.15
Small,2798.07,12.4,0.35
Very Large,69178.37,24.9,517.12
Medium,6674.54,12.9,4.31
Medium,9800.89,15.4,7.53
Large,40417.01,23.6,143.01
Very Large,82168.49,22.6,557.72
Large,30687.84,17.7,81.66
Medium,17772.34,15.9,14.1
Small,813.61,10.3,0.08
Very Large,60767.96,22.9,417.82
Large,42651.81,21.7,138.98
Very Large,80767.39,24.1,584.42
Very Large,93301.16,21.7,608.0
Very Large,78294.43,26.2,614.35
Small,3452.81,11.9,0.41
Small,3641.32,13.2,0.48
Medium,14811.16,16.1,11.92
Medium,6931.32,19.6,6.79
Small,722.07,12.8,0.09
Medium,12469.23,14.5,9.03
Medium,13894.74,16.3,11.33
Very Large,52348.22,25.7,403.03
Small,4470.06,10.7,0.48
Medium,18237.43,12.2,11.09
Medium,8644.18,19.3,8.33
Very Large,50354.83,28.2,425.91
Very Large,82063.29,24.1,594.21
Small,3661.83,14.8,0.54
Large,29571.32,24.7,109.52
Very Large,82105.51,23.0,566.07
Medium,15369.53,19.2,14.77
Small,3472.11,12.4,0.43
Very Large,53781.52,25.8,415.8
Medium,11200.14,16.4,9.17
Large,25024.11,18.8,70.53
Very Large,88562.15,20.4,541.68
Medium,12630.38,17.8,11.22
Small,4257.31,14.2,0.61
Large,46322.22,15.4,107.02
Very Large,57868.58,20.3,352.61
Very Large,90110.15,23.5,634.94
Large,22501.37,24.3,81.97
Medium,11067.37,15.6,8.66
Medium,10184.3,17.0,8.64
Large,39840.5,18.9,113.07
Small,3950.46,11.8,0.46
Small,2057.49,14.2,0.29
Large,27237.33,17.1,69.79
Large,20464.95,16.7,51.17
Medium,7872.82,16.0,6.31
Small,663.91,14.5,0.1
Large,30692.14,22.5,103.48
Medium,16100.27,14.5,11.65
Large,43779.87,21.0,138.16
Small,843.36,13.7,0.12
Very Large,69174.06,21.5,446.64
Very Large,90439.65,22.6,613.02
Medium,13801.52,15.6,10.74
Very Large,95848.06,30.0,861.71
Very Large,76884.61,26.6,614.38
Very Large,79540.79,25.1,597.93
Small,1177.75,14.7,0.17
Small,3596.99,13.9,0.5
Medium,8077.81,15.9,6.42
Very Large,91471.44,23.0,631.89
Large,34513.91,19.9,103.05
Medium,18317.57,15.6,14.33
Medium,18494.19,19.3,17.83
Very Large,50758.71,22.8,347.76
Very Large,88925.79,21.3,568.51
Large,30134.51,18.9,85.35
Medium,7322.64,13.5,4.93
Small,560.34,10.1,0.06
Medium,6116.43,16.0,4.9
Small,762.24,14.6,0.11
Small,3005.19,13.7,0.41
Large,27734.33,19.1,79.33
Small,2678.83,13.2,0.35
Very Large,79506.37,25.2,602.06
Medium,9647.71,12.7,6.12
Very Large,74099.31,27.6,612.65
Small,1071.96,11.8,0.13
Large,29603.3,23.4,103.83
Large,27098.99,23.9,97.14
Very Large,66077.09,30.0,594.34
Large,38402.06,17.6,101.48
Large,34581.33,21.6,112.26
Medium,18222.29,15.3,13.96
Medium,8180.67,12.8,5.25
Large,25738.32,20.2,77.88
Very Large,65551.83,23.3,457.6
Large,40777.18,20.7,126.73
Large,43186.42,19.9,129.03
Medium,18191.94,15.3,13.9
Medium,16484.79,12.6,10.35
Small,1960.28,14.7,0.29
Large,47347.74,20.5,145.89
Medium,7432.75,15.9,5.91
Medium,18766.38,13.6,12.74
Large,40071.61,16.3,97.75
Large,39686.09,19.7,117.37
Large,27944.49,24.3,102.01
Large,38782.94,23.9,139.11
Medium,11645.6,16.9,9.87
Very Large,82781.47,22.4,556.11
Small,4505.99,11.4,0.51
Medium,12627.91,14.5,9.19
Medium,9716.51,16.6,8.09
Medium,6051.52,18.9,5.72
Small,3646.91,13.6,0.49
Large,38725.76,16.3,94.8
Medium,8936.24,13.9,6.23
Small,4180.33,11.7,0.49
Small,3873.77,10.5,0.41
Medium,19428.32,17.2,16.73
Medium,8157.93,16.0,6.53
Small,4916.51,10.7,0.52
Large,43136.74,17.3,111.82
Large,34140.99,16.8,85.82
Small,2758.71,13.0,0.36
Large,23391.59,22.6,79.21
Small,1293.85,14.1,0.18
Large,27891.09,17.2,72.15
Large,47973.32,24.5,176.11
Very Large,81796.98,28.7,705.5
Medium,6689.14,19.5,6.51
Medium,12360.42,15.5,9.58
Large,31494.93,22.9,108.41
Very Large,95126.69,28.7,819.66
Small,2791.01,10.7,0.3
Very Large,55175.65,21.1,348.83
Small,4719.67,14.6,0.69
Small,4880.27,12.2,0.6
Very Large,65113.84,29.0,565.53
Very Large,92923.51,25.5,709.86
Small,4763.43,12.1,0.58
Very Large,53657.13,27.6,445.03
Medium,13158.17,14.7,9.68
Very Large,57141.21,27.0,462.14
Medium,14928.52,15.5,11.55
Very Large,88977.64,20.2,539.86
Very Large,76596.65,22.8,524.96
Medium,5840.03,15.8,4.63
Large,24887.08,23.1,86.32
Small,2481.0,14.2,0.35
Medium,18559.3,14.6,13.52
Medium,8810.47,19.9,8.75
Medium,15805.6,15.6,12.29
Large,29773.39,23.2,103.48
Medium,5006.02,18.4,4.62
Medium,6194.81,12.4,3.84
Very Large,74242.94,23.5,524.53
Small,1067.69,10.6,0.11
Very Large,51171.65,24.3,373.07
Medium,14898.05,15.5,11.51
Small,3912.73,13.0,0.51
Medium,5756.83,12.8,3.69
Very Large,81127.47,22.1,537.35
Medium,17849.19,19.4,17.33
Small,4767.91,14.2,0.68
Small,4828.39,12.7,0.61
Small,2717.52,10.8,0.29
Medium,18436.89,17.2,15.88
Large,30923.63,21.4,99.24
Very Large,81520.88,22.9,560.76
Small,4494.88,10.2,0.46
Very Large,62834.03,27.1,511.58
Medium,16839.36,12.2,10.31
Medium,11627.74,18.2,10.56
Large,30877.5,15.7,72.55
Small,4876.82,13.0,0.64
Medium,11641.04,19.6,11.4
Medium,8488.52,16.9,7.16
Very Large,85143.32,20.7,528.23
Large,42284.94,21.6,137.1
Large,25674.16,20.7,79.85
Very Large,77683.89,21.9,510.01
Large,35554.79,18.5,98.79
Medium,16753.76,19.4,16.23
Very Large,82711.79,25.3,628.68
Very Large,75454.09,28.3,640.54
Large,34679.68,20.1,104.69
Medium,6843.83,17.0,5.8
Small,3679.89,14.7,0.54
Small,3405.92,10.1,0.34
Very Large,77223.07,21.7,502.36
Very Large,83939.41,21.8,547.98
Medium,7956.59,19.0,7.56
Very Large,63481.72,26.5,505.59
Large,45488.01,19.8,135.11
Medium,7312.21,18.8,6.89
Large,25672.33,24.0,92.46
Medium,12787.45,14.4,9.2
Medium,14062.61,13.0,9.12
Large,24908.25,18.6,69.6
Small,3149.65,10.4,0.33
Small,2758.28,13.9,0.38
Small,3025.18,13.4,0.41
Large,28486.58,23.9,102.33
Large,28587.77,19.2,82.5
Very Large,54004.48,21.8,353.7
Medium,13048.67,14.2,9.28
Large,44378.38,16.3,108.41
Medium,15290.36,14.0,10.7
Medium,14389.76,13.2,9.5
Medium,11067.79,14.9,8.25
Very Large,75658.5,25.0,566.46
Very Large,58785.76,26.0,458.02
Medium,11506.67,14.8,8.54
Small,4213.11,12.4,0.52
Medium,17959.32,14.4,12.92
Small,886.6,13.6,0.12
Very Large,72192.8,21.9,473.88
Very Large,70788.74,24.7,524.37
Very Large,76357.42,27.3,626.34
Medium,14956.02,17.3,12.96
Medium,8241.89,13.5,5.55
Medium,8155.58,12.2,4.97
Large,35613.68,23.6,126.12
Small,1758.21,10.6,0.19
Medium,16629.98,15.6,12.98
Medium,14671.35,14.7,10.8
Large,45271.14,22.6,153.51
Very Large,82541.4,21.2,524.04
Small,4516.75,12.3,0.56
Medium,14060.07,19.0,13.34
Large,28721.67,24.8,107.01
Very Large,61260.36,22.6,414.81
Small,4304.98,13.1,0.56
Large,31048.86,18.7,87.25
Small,4408.14,14.2,0.62
Large,38425.07,18.3,105.72
Small,2012.72,11.5,0.23
Large,35382.5,19.0,100.75
Small,4342.4,10.7,0.46
Small,4421.98,12.2,0.54
Medium,5813.18,17.8,5.17
Large,34889.68,19.0,99.63
Small,4449.71,14.1,0.63
Very Large,79963.88,28.1,673.49
Very Large,92937.12,26.9,750.95
Large,37084.47,23.6,131.34
Very Large,80179.29,25.0,602.22
Small,1457.83,13.3,0.19
Very Large,75317.53,29.7,671.42
Small,1084.02,12.8,0.14
Medium,15221.9,14.0,10.68
Very Large,80334.47,29.3,706.25
Very Large,61218.46,24.9,458.01
Very Large,55642.91,26.1,435.6
Medium,10065.79,16.4,8.25
Small,4041.39,10.3,0.42
Large,41634.78,21.6,134.76
Very Large,86430.76,23.5,610.59
Large,41701.84,17.7,110.97
Small,3382.17,11.3,0.38
Large,31524.82,23.4,110.46
Medium,12502.97,18.7,11.7
Very Large,51831.48,22.0,341.43
Very Large,70232.69,23.9,504.34
Small,4437.04,13.9,0.61
Very Large,99460.83,21.7,646.54
Medium,11884.55,13.9,8.26
Very Large,91482.19,27.0,742.09
Large,37180.48,20.0,111.57
Very Large,73242.74,26.3,578.01
Small,3540.4,12.7,0.45
Very Large,76429.21,28.1,644.44
Very Large,51428.55,26.3,405.9
Large,41618.49,20.0,124.87
Very Large,67101.13,28.3,570.14
Small,4192.89,10.2,0.43
Large,48541.89,21.2,154.53
Small,3858.41,10.0,0.39
Medium,8356.68,19.5,8.13
Large,47499.29,22.1,157.14
Very Large,68555.3,27.2,559.43
Small,1040.72,12.7,0.13
Small,2223.22,11.1,0.25
Small,2848.38,10.4,0.3
Medium,19159.94,12.4,11.86
Very Large,94738.1,21.2,601.84
Large,44313.1,18.7,124.58
Medium,19961.34,14.2,14.22
Very Large,58801.98,27.9,491.56
Large,47121.05,18.2,128.65
Small,4314.38,13.9,0.6
Large,30093.51,17.1,77.24
Large,28874.68,23.9,103.44
Very Large,69859.34,22.5,470.56
Very Large,81927.19,20.5,504.0
Small,4870.49,12.2,0.59
Very Large,83819.47,20.9,526.12
Large,40718.68,20.1,122.98
Medium,10593.15,13.2,6.97
Medium,18517.66,18.0,16.67
Very Large,52047.58,25.3,394.62
Medium,19753.96,17.3,17.13
Large,47661.46,16.0,114.71
Small,753.5,10.1,0.08
Small,4884.57,10.2,0.5
Large,27880.8,16.6,69.62
Very Large,82009.69,21.2,521.55
Small,1938.15,13.0,0.25
Very Large,51002.64,28.9,442.26
Large,44369.52,22.5,149.91
Small,1354.34,10.6,0.14
Large,34309.76,21.4,110.25
Large,41785.68,23.4,146.78
Small,2751.61,11.8,0.32
Small,641.51,13.6,0.09
Medium,18064.51,14.7,13.31
Small,1285.75,11.6,0.15
Very Large,76390.61,25.2,576.97
Medium,19014.05,16.2,15.38
Small,831.04,10.3,0.09
Large,25173.39,20.8,78.53
Large,34472.71,15.9,82.41
Large,28168.57,16.7,70.54
Very Large,65311.96,28.4,556.03
Medium,16075.27,13.1,10.56
Large,37789.54,24.4,138.08
Small,2578.66,14.2,0.37
Very Large,67198.98,22.8,459.09
Small,949.93,10.2,0.1
Large,30658.69,15.5,71.24
Very Large,67010.81,20.1,403.38
Medium,13060.69,18.7,12.23
Small,1970.1,12.2,0.24
Medium,11709.09,12.6,7.36
Small,1150.61,13.5,0.16
Medium,11388.4,19.9,11.32
Medium,11110.73,13.4,7.45
Very Large,87411.94,29.0,761.28
Very Large,52739.35,24.2,383.13
Small,4701.56,12.7,0.6
Very Large,58982.27,29.6,523.69
Small,4145.63,10.4,0.43
Medium,13458.01,16.1,10.85
Large,39958.19,15.8,94.62
Very Large,83709.88,21.3,535.78
Large,29036.94,19.6,85.52
Small,2501.4,10.2,0.26
Small,1861.88,13.3,0.25
Small,2506.0,14.1,0.35
Large,32760.69,17.5,85.86
Small,3513.58,14.8,0.52
Medium,18377.3,13.6,12.47
Large,22428.49,20.8,69.88
Large,41399.65,21.6,134.1
Small,2875.25,13.9,0.4
Large,23088.38,22.2,76.85
Medium,12049.68,18.9,11.36
Small,1959.97,11.7,0.23
Large,42485.49,21.3,135.78
Medium,18459.48,16.1,14.9
Medium,14487.08,14.3,10.36
Very Large,50650.51,29.4,447.46
Medium,10993.98,18.8,10.35
Small,609.76,12.9,0.08
Large,27908.16,24.5,102.76
Medium,14783.96,17.8,13.17
Large,24406.82,23.6,86.25
Small,1551.11,11.3,0.18
Very Large,90033.2,24.5,662.79
Medium,9728.25,12.9,6.29
Small,4958.21,11.2,0.56
Medium,8854.28,12.2,5.39
Small,2368.46,13.1,0.31
Medium,11472.62,13.8,7.94
Small,3139.91,13.1,0.41
Large,47178.32,20.7,146.26
Very Large,97661.86,25.4,744.47
Large,41827.38,19.5,122.45
Medium,18943.75,13.5,12.76
Very Large,78034.72,21.0,490.46
Very Large,56276.21,28.1,475.02
Medium,18148.41,13.3,12.04
Small,1433.61,14.5,0.21
Very Large,69153.47,28.7,595.22
Medium,8548.52,17.8,7.63
Large,33940.68,23.2,118.15
Very Large,61423.58,28.7,528.2
Medium,6776.93,12.1,4.1
Medium,14686.39,14.0,10.28
Very Large,64787.64,25.0,485.06
Medium,13564.87,15.3,10.35
Very Large,56818.56,22.0,374.44
Medium,9348.21,12.1,5.66
Very Large,81362.92,23.2,565.4
Very Large,59146.77,24.3,431.19
Very Large,67892.06,20.1,409.07
Very Large,88824.34,27.5,732.58
Very Large,94603.72,25.4,719.61
Medium,5231.71,15.5,4.05
Medium,14708.33,12.4,9.09
Medium,16200.06,12.8,10.33
Very Large,94390.88,21.0,595.98
Medium,15978.1,15.1,12.04
Medium,9749.04,15.2,7.41
Very Large,91276.54,22.8,623.03
Large,33246.02,19.9,99.27
Very Large,94825.21,29.8,848.5
Very Large,62884.78,28.8,544.25
Medium,9868.31,18.3,9.01
Large,44093.99,15.4,102.13
Large,29286.78,17.9,78.74
Large,31843.26,19.9,95.16
Large,40075.51,22.3,134.2
Large,21478.99,15.0,48.4
Very Large,88449.01,24.5,649.24
Small,1011.93,12.1,0.12
Small,2463.1,14.9,0.37
Medium,6193.82,19.5,6.05
Very Large,81673.21,21.1,515.96
Small,3976.35,10.8,0.43
Medium,15922.75,14.6,11.62
Very Large,66860.1,22.6,453.81
Large,23394.08,18.5,64.97
Small,2117.03,12.4,0.26
Large,36897.68,21.5,118.87
Small,1237.64,11.9,0.15
Very Large,98440.82,29.9,883.57
Medium,18978.69,14.2,13.5
Very Large,58569.92,20.8,365.3
Large,21713.98,23.9,77.97
Large,47412.95,23.8,169.26
Large,24509.32,15.4,56.56
Large,37593.79,17.6,99.32
Large,34053.84,21.0,107.18
Small,617.71,13.4,0.08
Small,2391.51,14.5,0.35
Large,22531.64,17.6,59.46
Large,47175.48,20.2,142.68
Small,2084.07,12.1,0.25
Small,3792.67,13.5,0.51
Large,38464.73,22.5,130.04
Large,26591.68,19.4,77.33
Medium,9846.07,18.7,9.21
Small,4064.85,14.2,0.58
Small,3590.9,14.6,0.52
Large,29445.23,16.2,71.41
Medium,14410.95,14.1,10.14
Large,47253.13,16.0,113.73
Medium,9552.44,14.8,7.05
Small,4651.58,12.8,0.6
Very Large,53122.38,28.2,449.59
Medium,15402.65,12.3,9.49
Small,3527.85,14.2,0.5
Very Large,61061.89,26.8,490.4
Large,29014.66,23.0,100.24
Medium,11844.89,19.2,11.34
Medium,8747.81,14.7,6.43
Medium,11157.57,13.8,7.72
Medium,8203.51,12.1,4.96
Small,2859.96,14.0,0.4
Very Large,80545.38,23.8,574.66
Small,991.76,14.0,0.14
Medium,16658.06,14.2,11.79
Medium,10197.04,19.8,10.09
Small,2556.22,14.7,0.38
Medium,15575.95,15.6,12.16
Medium,17086.89,14.2,12.11
Small,4415.89,10.7,0.47
Small,1007.59,13.5,0.14
Large,40795.08,23.0,140.83
Small,2112.63,10.9,0.23
Small,2662.92,12.8,0.34
Large,23678.84,19.3,68.67
Large,25092.75,24.7,92.81
Small,544.31,11.2,0.06
Very Large,72456.17,25.7,558.78
Medium,6948.48,17.7,6.16
Medium,15288.14,18.7,14.27
Medium,13327.4,17.8,11.89
Medium,10546.07,15.9,8.38
Large,30843.96,22.8,105.38
Medium,6582.7,17.5,5.75
Very Large,76523.66,24.2,554.59
Medium,5780.69,19.1,5.51
Medium,10589.08,13.8,7.33
Small,4892.35,12.7,0.62
Small,4610.5,12.0,0.56
Very Large,72037.75,25.8,558.6
Large,44220.37,22.6,150.11
Small,713.37,14.0,0.1
Large,48869.02,19.3,141.32
Very Large,87115.51,27.7,724.04
Medium,6881.63,18.3,6.29
Medium,14950.44,15.3,11.41
Large,42209.09,18.1,114.77
Large,25151.3,20.3,76.58
Medium,19840.11,17.4,17.29
Large,39648.23,17.8,106.06
Very Large,55392.66,22.6,375.95
Small,4403.1,11.2,0.49
Small,3052.08,12.8,0.39
Medium,10604.08,17.5,9.25
Small,1897.6,13.1,0.25
Small,2925.41,11.4,0.33
Medium,11232.4,15.2,8.55
Medium,10609.08,19.6,10.4
Medium,6716.57,14.4,4.85
Large,29628.06,17.5,77.87
Large,40166.02,17.0,102.23
Large,48290.62,23.0,166.25
Very Large,74977.44,28.7,645.54
Medium,11034.42,18.3,10.08
Small,2660.41,12.5,0.33
Small,2664.24,11.9,0.32
Large,20585.08,23.1,71.19
Medium,11543.22,13.6,7.83
Very Large,82543.32,22.0,544.51
Large,28953.52,21.4,92.86
Medium,19735.86,13.6,13.4
Large,21209.76,15.9,50.74
Large,28841.45,15.0,64.97
Small,4981.11,11.4,0.57
Small,2855.94,11.0,0.31
Small,2840.72,11.8,0.34
Very Large,56759.15,27.0,458.93
Medium,8109.24,15.0,6.09
Very Large,87886.75,25.8,680.88
Very Large,78859.99,20.7,488.75
Medium,5042.63,19.4,4.9
Small,2197.63,13.3,0.29
Medium,11528.46,19.6,11.28
Small,1874.36,10.8,0.2
Very Large,99049.32,29.3,869.62
Small,3010.15,11.9,0.36
Very Large,55306.27,26.9,446.1
Large,28853.27,22.3,96.66
Medium,17064.57,13.3,11.35
Small,4540.08,11.7,0.53
Large,37449.54,24.8,139.06
Large,37679.95,20.3,114.46
Large,29398.28,20.3,89.37
Small,3156.92,10.5,0.33
Very Large,62662.64,29.1,546.9
Medium,14436.76,13.2,9.54
Small,1976.31,13.3,0.26
Medium,11176.22,14.7,8.19
Small,2119.61,13.3,0.28
Large,47396.18,23.0,163.36
Very Large,90150.3,27.2,734.58
Medium,14341.12,15.3,10.97
Medium,6550.67,13.4,4.4
Large,38411.24,22.9,132.15
Very Large,74884.4,24.8,556.25
Very Large,51099.33,28.2,431.82
Large,37899.74,21.0,119.66
Small,3251.73,13.5,0.44
Medium,17232.32,16.0,13.75
Small,3150.21,12.6,0.4
Very Large,58177.28,20.3,354.94
Small,2291.39,10.1,0.23
Small,1515.93,10.1,0.15
Large,29881.34,20.9,93.58
Large,23827.04,24.0,85.9
Medium,6117.66,16.1,4.92
Medium,11554.32,18.3,10.56
Very Large,59468.04,27.7,494.42
Very Large,91509.63,29.6,811.54
Medium,5425.06,18.6,5.05
Large,34382.47,20.1,103.85
Medium,8222.82,12.3,5.07
Very Large,88212.78,29.9,792.1
Very Large,70922.47,25.1,533.74
Medium,19788.84,17.1,16.94
Medium,14076.52,15.2,10.67
Large,31442.46,15.8,74.46
Medium,17866.48,16.0,14.26
Large,25539.54,18.4,70.53
Small,2485.53,10.3,0.26
Large,40175.67,22.0,132.84
Small,4389.04,12.3,0.54
Medium,7656.82,15.4,5.91
Small,2443.12,13.9,0.34
Large,28537.87,16.7,71.49
Small,2581.79,13.9,0.36
Large,24908.72,16.2,60.71
Very Large,73387.91,29.7,653.46
Large,21352.67,22.3,71.46
Very Large,73392.97,26.5,582.73
Medium,19434.54,18.7,18.15
Medium,13226.01,13.6,8.98
Medium,10220.4,19.1,9.78
Small,732.59,10.8,0.08
Very Large,92165.15,23.6,653.02
Very Large,72668.53,25.2,548.75
Medium,14762.04,19.7,14.57
Small,3282.56,10.6,0.35
Small,2642.26,13.4,0.36
Small,3845.95,12.9,0.5
Medium,9406.43,14.2,6.69
Very Large,78775.05,24.2,572.72
Medium,9859.69,16.7,8.23
Large,45576.16,17.6,120.18
Very Large,83541.33,27.0,677.46
Small,3177.71,10.5,0.33
Large,43001.16,24.7,159.29
Large,41469.88,22.9,142.33
Large,37329.84,18.6,104.03
Small,4362.68,14.8,0.64
Small,1926.5,14.2,0.27
Small,2922.73,12.3,0.36
Very Large,92538.92,24.2,672.92
Medium,12645.85,15.0,9.51
Small,2048.34,15.0,0.31
Large,33565.49,16.3,82.24
Very Large,94386.22,23.2,656.41
Large,42821.14,16.5,105.97
Small,2629.28,13.2,0.35
Medium,5172.89,13.0,3.37
Very Large,63416.99,27.0,513.29
Small,1888.85,10.7,0.2
Large,41382.61,15.5,95.98
Small,4380.95,14.8,0.65
Medium,7877.54,14.7,5.78
Large,39221.31,19.1,112.6
Medium,16209.74,12.4,10.07
Very Large,70810.85,21.8,463.03
Medium,8919.93,19.9,8.87
Very Large,55873.79,27.9,466.94
Large,46894.19,21.4,150.26
Large,33246.42,24.4,121.93
Very Large,86947.29,22.0,573.28
Very Large,97840.73,23.3,683.9
Large,40568.09,22.6,137.46
Medium,17053.13,20.0,17.02
Medium,6516.33,14.5,4.71
Large,28847.93,15.2,65.57
Small,601.47,10.3,0.06
Very Large,58555.12,28.7,504.73
Small,3546.98,12.6,0.45
Medium,14804.85,19.6,14.55
Medium,12350.06,12.9,7.96
Very Large,96606.7,27.2,788.48
Very Large,56836.77,27.6,471.3
Small,1542.12,10.9,0.17
Very Large,89961.9,29.0,782.3
Small,4723.6,10.9,0.52
Very Large,66654.36,24.3,485.22
Small,1265.64,11.6,0.15
Very Large,77706.44,26.1,608.14
Very Large,98611.49,21.5,637.04
Large,43609.06,16.2,105.73
Very Large,95797.15,22.9,657.53
Small,4478.34,12.3,0.55
Large,40640.92,18.2,110.91
Very Large,70698.38,24.8,526.72
Large,33719.5,23.5,118.67
Large,34674.02,22.9,119.31
Small,2418.83,12.7,0.31
Very Large,84882.32,25.3,644.23
Small,3560.21,13.2,0.47
Large,22847.24,18.9,64.77
Large,43620.47,20.4,133.57
Large,25299.29,17.9,67.75
Small,2618.43,14.4,0.38
Very Large,90847.88,21.3,579.86
Very Large,82957.78,24.0,596.81
Medium,17237.83,18.4,15.88
Large,31643.64,16.0,75.74
Large,48788.78,18.6,135.94
Small,2359.38,12.0,0.28
Very Large,78150.65,23.6,552.51
Very Large,88601.59,28.3,751.75
Small,2387.25,14.8,0.35
Small,4468.35,12.4,0.56
Large,22375.59,19.9,66.72
Small,2516.72,11.4,0.29
