Ship_Type,Ship_Size,Fuel_Level_tonnes,Ship_Load_%,Wind_Speed_knots,Precipitation_mm_hr,Wave_Height_m,Storm_Severity,Distance_to_Disaster_km,Adjusted_Speed_knots
Container,Medium,56.88,71.0,7.76,16.64,1.92,Low,169.73,11.98
Cargo,Medium,88.18,61.0,6.47,1.58,1.21,Low,210.02,12.82
Container,Small,29.99,63.0,9.62,30.4,5.57,Medium,45.61,2.21
Cargo,Large,180.67,99.0,20.62,28.44,5.0,Medium,433.06,12.63
Passenger,Large,196.55,72.0,22.79,4.85,8.23,Medium,479.03,13.13
Passenger,Small,24.0,91.0,8.86,29.75,5.81,Medium,238.71,4.17
Tanker,Small,26.2,85.0,30.26,49.93,11.85,High,110.67,0.0
Tanker,Medium,97.34,75.0,12.38,47.22,4.53,Medium,332.33,8.91
Cargo,Large,126.94,68.0,36.89,0.13,8.43,Medium,226.19,9.97
Cargo,Small,20.93,65.0,26.27,39.77,13.27,High,126.15,0.0
Tanker,Small,42.79,85.0,17.45,17.68,5.08,Medium,19.22,1.86
Cargo,Small,37.73,91.0,31.6,3.18,12.46,Medium,444.85,4.96
Cargo,Medium,69.85,86.0,32.72,14.8,14.19,High,398.37,4.63
Passenger,Small,30.55,81.0,11.62,16.09,4.3,Low,414.5,8.61
Passenger,Large,100.07,62.0,13.59,26.16,6.92,Medium,219.92,10.7
Cargo,Large,172.6,99.0,37.44,33.05,10.14,High,376.63,6.22
Container,Medium,58.21,92.0,6.59,37.45,3.89,Low,290.61,12.64
Container,Small,25.05,72.0,1.69,12.3,1.25,Low,187.39,7.22
Tanker,Large,135.96,99.0,18.16,16.09,3.84,Low,421.37,17.4
Tanker,Medium,88.59,84.0,32.05,15.42,7.48,Medium,499.38,9.93
Cargo,Small,41.77,83.0,30.87,18.14,12.05,High,449.64,2.39
Cargo,Large,190.33,90.0,36.78,49.98,15.82,High,388.1,5.46
Tanker,Large,127.72,92.0,21.33,38.9,8.29,Medium,373.75,11.46
Passenger,Medium,94.11,86.0,4.0,48.75,4.11,Low,325.12,12.87
Container,Large,197.7,65.0,23.55,34.66,8.63,Medium,426.81,11.93
Tanker,Large,182.59,74.0,31.14,20.31,15.11,High,246.54,4.99
Passenger,Medium,71.35,97.0,3.73,19.49,2.45,Low,90.86,11.29
Cargo,Large,120.21,69.0,6.91,24.43,2.78,Low,384.02,17.53
Tanker,Medium,95.14,75.0,0.49,20.84,1.17,Low,459.75,15.24
Cargo,Medium,76.07,77.0,23.75,41.42,10.79,Medium,170.68,6.21
Tanker,Medium,52.85,78.0,35.47,23.25,17.4,High,391.49,3.94
Cargo,Small,20.15,85.0,26.83,14.78,5.34,Medium,136.86,2.6
Passenger,Medium,73.19,98.0,39.28,38.74,13.95,High,471.3,4.58
Cargo,Medium,67.12,70.0,2.52,42.72,2.51,Low,341.73,13.39
Container,Large,100.76,65.0,36.12,21.02,8.7,Medium,284.64,10.15
Container,Small,47.4,68.0,32.56,33.39,13.86,High,389.94,1.22
Passenger,Small,39.91,95.0,12.57,2.94,1.79,Low,406.62,9.0
Tanker,Small,42.66,86.0,38.94,26.47,15.53,High,446.18,1.43
Container,Small,37.82,71.0,11.52,2.25,5.42,Low,450.56,9.14
Cargo,Small,43.39,93.0,35.57,1.46,17.42,High,26.35,0.0
Passenger,Medium,65.61,94.0,35.23,30.65,8.11,Medium,61.45,5.03
Cargo,Small,48.57,94.0,30.31,15.17,12.87,High,413.03,2.02
Tanker,Small,23.47,97.0,22.54,37.13,12.46,High,473.03,2.61
Passenger,Medium,98.23,70.0,4.8,44.8,2.9,Low,153.84,11.31
Passenger,Medium,85.05,90.0,21.28,6.97,6.0,Medium,4.3,5.84
Tanker,Small,30.11,78.0,14.27,36.23,8.49,Medium,161.35,2.73
Container,Small,31.01,94.0,31.69,25.73,7.03,Medium,191.43,2.51
Passenger,Medium,90.56,89.0,30.33,5.61,14.64,High,380.52,4.71
Passenger,Large,154.77,91.0,36.42,32.58,12.95,High,23.79,2.47
Cargo,Medium,73.31,86.0,0.59,30.47,1.61,Low,106.32,11.46
Passenger,Small,36.29,67.0,32.36,25.78,10.35,Medium,446.98,4.7
Cargo,Large,171.5,82.0,37.54,46.32,10.97,High,77.41,2.87
Passenger,Large,124.77,99.0,31.57,26.05,8.02,Medium,379.62,11.29
Cargo,Medium,76.63,97.0,5.21,49.53,4.13,Medium,180.66,7.74
Tanker,Medium,93.15,62.0,3.25,25.46,2.23,Low,331.33,13.62
Container,Large,123.3,67.0,0.83,5.79,0.53,Low,36.92,14.96
Container,Small,49.24,65.0,25.15,23.52,4.58,Medium,143.28,2.65
Cargo,Small,48.71,89.0,25.19,9.12,11.06,Medium,212.39,2.98
Container,Medium,94.32,93.0,39.48,29.86,13.04,High,428.61,4.41
Container,Medium,94.12,69.0,15.92,34.66,8.55,Medium,281.75,8.07
Container,Small,26.54,80.0,13.28,23.42,6.88,Medium,22.61,1.81
Tanker,Medium,95.72,94.0,24.98,4.89,5.91,Medium,400.93,9.67
Container,Medium,82.47,89.0,33.02,23.43,4.53,Medium,27.26,5.3
Cargo,Small,28.1,82.0,37.47,4.07,17.61,High,467.18,1.96
Tanker,Medium,64.3,84.0,32.12,34.11,14.69,High,105.86,1.3
Passenger,Medium,77.57,80.0,17.07,39.52,4.42,Medium,243.96,7.95
Tanker,Small,40.71,72.0,25.4,48.12,12.08,High,36.14,0.0
Cargo,Large,114.07,83.0,34.25,7.44,4.07,Medium,280.86,10.94
Passenger,Small,23.73,88.0,19.62,26.62,3.51,Medium,248.61,4.02
Passenger,Medium,51.47,95.0,8.67,28.38,4.11,Low,205.12,11.84
Cargo,Medium,78.18,85.0,6.79,46.12,3.25,Low,17.79,9.79
Cargo,Large,195.46,90.0,0.01,31.36,1.57,Low,439.47,18.41
Tanker,Small,22.81,66.0,28.73,7.28,13.51,Medium,401.32,4.48
Passenger,Medium,86.46,78.0,4.44,21.82,2.69,Low,316.52,13.44
Container,Small,28.42,60.0,9.75,32.74,2.86,Low,286.11,7.23
Tanker,Medium,63.68,70.0,11.92,35.01,4.49,Medium,347.47,9.33
Passenger,Large,121.5,89.0,22.42,43.15,7.73,Medium,72.0,8.36
Passenger,Small,43.09,100.0,15.92,9.03,5.11,Low,466.32,8.98
Cargo,Large,174.58,64.0,26.99,47.58,6.9,Medium,142.34,8.83
Container,Medium,98.16,76.0,2.23,2.96,0.89,Low,328.25,14.22
Passenger,Small,45.47,92.0,4.96,49.19,3.82,Low,303.38,7.22
Tanker,Small,25.71,68.0,19.97,42.89,11.71,Medium,318.31,3.56
Passenger,Small,28.1,82.0,13.48,33.01,8.05,Medium,439.48,5.66
Cargo,Small,39.43,89.0,11.83,36.75,5.7,Medium,147.96,2.98
Tanker,Medium,65.96,85.0,2.68,3.63,1.14,Low,374.47,14.62
Passenger,Medium,88.08,68.0,35.83,2.07,5.66,Medium,299.2,8.19
Passenger,Large,149.12,74.0,27.67,5.09,5.49,Medium,38.03,8.75
Container,Small,29.7,91.0,4.86,4.37,2.46,Low,207.08,7.29
Container,Large,184.57,82.0,2.6,27.37,2.36,Low,418.98,18.08
Tanker,Medium,72.46,60.0,38.99,10.77,7.39,Medium,157.67,6.27
Container,Medium,74.81,90.0,27.25,43.01,11.09,High,241.13,3.08
Tanker,Medium,99.78,61.0,16.7,22.29,9.03,Medium,244.32,7.86
Container,Small,39.35,90.0,28.07,34.78,8.42,Medium,309.0,3.55
Tanker,Small,46.5,68.0,30.25,32.64,6.91,Medium,442.01,4.96
Passenger,Large,105.92,98.0,31.2,15.99,15.68,High,86.77,3.42
Tanker,Large,156.49,75.0,19.12,12.16,6.05,Medium,252.31,11.12
Passenger,Large,168.92,73.0,17.2,17.12,5.45,Medium,212.13,10.77
Cargo,Small,43.72,66.0,0.44,39.83,2.08,Low,147.96,6.25
Tanker,Large,121.39,72.0,37.06,29.31,18.39,High,459.8,6.32
Passenger,Large,180.7,95.0,24.13,12.68,11.21,Medium,4.09,7.86
Tanker,Small,44.41,100.0,8.13,40.89,4.17,Low,61.05,4.77
Passenger,Small,49.09,75.0,36.78,2.74,4.27,Medium,366.67,4.75
Tanker,Large,106.52,78.0,36.6,34.96,11.95,High,131.72,3.59
Cargo,Large,166.45,89.0,39.57,21.96,7.92,Medium,361.59,10.81
Tanker,Medium,95.09,95.0,34.96,36.56,7.32,Medium,416.13,8.55
Tanker,Large,191.32,84.0,39.91,46.37,12.58,High,127.31,3.09
Tanker,Large,145.25,76.0,9.79,37.5,3.24,Low,95.97,14.2
Tanker,Small,39.32,77.0,33.69,22.1,17.38,High,72.65,0.0
Passenger,Medium,62.98,88.0,32.92,7.55,4.3,Medium,100.04,6.37
Tanker,Medium,78.96,60.0,9.24,40.32,4.42,Medium,133.59,7.23
Cargo,Large,160.51,85.0,3.94,23.04,1.8,Low,434.37,18.31
Container,Large,147.57,74.0,39.18,3.77,14.9,High,385.0,6.33
Tanker,Medium,80.35,92.0,11.84,35.95,3.35,Low,0.92,9.56
Container,Medium,53.26,64.0,34.84,14.59,11.83,High,437.06,5.15
Passenger,Medium,59.72,84.0,0.17,2.44,0.19,Low,39.41,11.52
Container,Small,46.49,79.0,0.84,45.14,2.66,Low,327.63,7.87
Passenger,Large,188.16,86.0,18.63,24.16,8.28,Medium,75.74,8.91
Passenger,Medium,51.59,63.0,9.55,14.05,2.04,Low,31.14,10.55
Tanker,Small,34.26,83.0,27.59,35.82,5.53,Medium,379.89,4.55
Passenger,Medium,86.65,82.0,22.62,44.3,11.1,High,233.6,3.21
Passenger,Medium,60.53,82.0,3.1,0.02,0.58,Low,299.53,13.98
Cargo,Large,172.27,84.0,6.51,34.39,3.54,Low,212.68,15.56
Container,Medium,91.76,87.0,15.52,38.35,9.53,Medium,33.59,5.44
Cargo,Small,20.32,92.0,7.42,10.5,3.7,Low,369.81,8.55
Tanker,Medium,87.69,71.0,31.69,24.48,15.12,High,410.18,4.52
Cargo,Large,146.78,93.0,16.64,4.46,7.62,Medium,20.71,8.92
Cargo,Small,40.25,80.0,3.74,37.34,3.17,Low,187.86,6.43
Passenger,Large,141.45,63.0,19.37,42.37,9.82,Medium,278.66,10.39
Passenger,Small,47.18,62.0,3.63,5.41,1.15,Low,302.59,8.42
Container,Medium,74.42,73.0,5.16,40.82,4.62,Low,289.08,12.55
Container,Medium,55.85,91.0,9.58,38.58,3.96,Low,346.47,13.02
Tanker,Large,104.84,88.0,34.38,17.35,12.42,High,483.41,7.53
Cargo,Small,40.71,92.0,36.98,34.51,9.6,High,195.29,0.0
Container,Large,118.72,81.0,33.05,0.0,4.79,Medium,278.31,11.05
Passenger,Small,35.9,78.0,13.36,46.59,6.7,Medium,349.54,4.63
Container,Large,169.15,66.0,10.9,27.52,4.01,Low,296.21,16.27
Cargo,Medium,68.7,73.0,21.97,31.02,8.87,Medium,193.38,6.93
Container,Large,192.54,77.0,28.87,33.23,11.0,High,312.04,5.91
Tanker,Medium,77.58,64.0,39.73,28.07,13.99,High,325.06,3.3
Tanker,Large,173.29,69.0,5.26,42.84,2.93,Low,292.48,16.31
Passenger,Medium,54.92,84.0,1.97,30.49,2.07,Low,102.56,11.31
Container,Small,32.0,89.0,27.77,45.39,14.07,High,252.99,0.0
Container,Medium,96.85,100.0,33.29,29.12,8.98,Medium,442.18,8.88
Container,Large,102.77,97.0,33.85,8.56,9.82,Medium,434.3,11.9
Tanker,Large,112.42,86.0,27.14,45.68,10.36,High,375.39,6.45
Passenger,Small,38.2,77.0,38.16,34.08,18.69,High,348.6,0.03
Container,Small,41.64,85.0,20.44,34.96,9.15,Medium,76.64,1.53
Cargo,Medium,89.72,91.0,36.55,49.27,7.58,Medium,229.73,6.33
Passenger,Large,136.89,65.0,38.71,3.76,17.46,High,55.48,2.8
Container,Large,135.41,76.0,33.89,21.43,15.74,High,408.64,6.39
Container,Large,198.63,94.0,12.39,11.95,5.57,Low,145.52,14.84
Passenger,Small,39.19,75.0,7.85,31.52,3.82,Low,383.43,8.23
Passenger,Medium,64.8,83.0,21.92,40.34,10.85,Medium,407.29,8.69
Tanker,Small,39.58,84.0,18.12,48.32,7.7,Medium,446.25,5.22
Tanker,Medium,91.39,67.0,35.11,22.73,14.99,High,376.92,4.06
Tanker,Small,30.41,74.0,4.0,39.31,3.77,Low,282.36,7.26
Cargo,Large,130.31,73.0,10.31,45.85,7.0,Medium,299.09,11.26
Tanker,Large,117.26,61.0,30.07,34.17,10.18,Medium,160.29,8.8
Container,Large,151.46,61.0,3.8,12.14,2.29,Low,88.5,15.02
Passenger,Large,166.2,93.0,12.83,30.39,3.32,Low,65.32,13.87
Container,Small,36.96,71.0,15.49,48.5,4.6,Medium,91.01,2.11
Passenger,Large,144.09,81.0,24.9,49.38,10.42,High,466.98,7.4
Tanker,Small,43.6,72.0,6.33,32.12,3.89,Low,82.22,5.27
Tanker,Small,33.61,98.0,34.42,44.35,7.77,Medium,361.87,3.63
Passenger,Medium,91.54,70.0,17.9,10.02,5.67,Medium,92.31,6.86
Cargo,Small,32.72,77.0,36.68,12.3,5.67,Medium,487.64,5.63
Tanker,Medium,87.29,95.0,18.71,47.64,8.76,Medium,183.29,6.67
Tanker,Medium,86.55,94.0,11.0,6.76,5.2,Low,206.07,12.06
Passenger,Small,47.44,67.0,5.67,9.56,2.72,Low,202.26,7.08
Container,Medium,57.93,92.0,0.15,21.03,1.09,Low,408.23,14.75
Passenger,Small,26.71,78.0,21.29,29.48,12.07,Medium,109.15,1.63
Passenger,Medium,91.65,79.0,4.29,30.19,3.08,Low,415.51,14.23
Tanker,Small,22.8,65.0,15.67,14.6,7.41,Medium,328.53,4.87
Container,Small,25.48,63.0,23.57,46.03,10.97,High,110.14,0.0
Tanker,Medium,56.81,89.0,11.03,45.75,7.76,Medium,32.7,5.68
Tanker,Large,133.79,80.0,7.01,19.6,3.98,Low,387.5,17.53
Tanker,Medium,85.48,77.0,30.99,21.71,10.62,Medium,109.48,5.65
Cargo,Medium,98.86,89.0,37.87,35.12,11.1,High,444.53,4.74
Cargo,Large,116.34,91.0,4.02,33.15,3.16,Low,64.89,14.27
Tanker,Medium,54.38,66.0,6.22,19.11,3.05,Low,308.18,13.28
Cargo,Large,123.63,84.0,38.4,20.71,14.54,High,346.08,5.67
Passenger,Medium,71.09,65.0,1.51,17.4,1.23,Low,328.85,13.94
Container,Medium,65.23,90.0,39.11,11.77,11.21,High,158.01,2.27
Cargo,Medium,59.63,86.0,0.19,22.91,1.21,Low,437.76,14.99
Tanker,Small,30.77,98.0,34.95,34.32,16.94,High,384.9,0.72
Passenger,Large,146.57,63.0,12.29,37.1,6.83,Medium,255.1,10.91
Passenger,Large,109.34,62.0,37.54,38.94,7.48,Medium,301.65,10.01
Cargo,Medium,55.79,71.0,12.68,18.74,3.45,Low,283.19,12.68
Tanker,Small,30.52,70.0,26.17,38.23,4.81,Medium,473.35,5.58
Container,Small,46.76,70.0,3.2,0.33,0.35,Low,448.21,10.08
Passenger,Medium,65.02,96.0,9.69,23.85,3.03,Low,117.75,11.11
Passenger,Medium,97.79,70.0,30.95,39.7,14.98,High,131.38,1.47
Cargo,Large,190.84,71.0,21.15,31.5,11.34,Medium,490.72,12.49
Container,Small,26.79,90.0,37.12,23.7,10.71,High,118.28,0.0
Tanker,Small,48.72,78.0,17.15,32.23,7.19,Medium,476.74,5.95
Tanker,Medium,50.02,91.0,34.79,45.35,15.57,High,324.88,3.05
Tanker,Large,102.73,63.0,17.96,28.32,10.06,Medium,25.05,8.18
Passenger,Large,176.8,80.0,39.17,39.99,20.22,High,167.86,2.9
Passenger,Large,152.94,61.0,38.39,49.04,7.17,Medium,238.08,9.16
Passenger,Medium,96.19,63.0,13.17,35.28,4.39,Medium,416.55,9.96
Cargo,Small,35.72,96.0,35.44,28.67,5.67,Medium,164.29,2.13
Container,Medium,75.23,66.0,33.9,1.87,11.84,Medium,155.29,6.24
Tanker,Medium,53.37,81.0,8.43,18.72,4.17,Low,460.13,14.59
Cargo,Medium,76.2,76.0,24.97,28.27,6.99,Medium,39.52,5.48
Container,Small,36.24,74.0,2.91,39.86,3.28,Low,275.76,7.29
Cargo,Medium,86.88,96.0,33.47,21.91,10.5,Medium,252.12,6.96
Container,Large,194.98,61.0,6.98,48.0,5.89,Medium,28.67,8.79
Passenger,Medium,61.08,87.0,2.83,13.59,0.96,Low,43.88,11.13
Container,Large,160.53,99.0,16.01,37.23,4.16,Medium,190.98,10.35
Tanker,Large,137.55,82.0,23.08,20.95,6.14,Medium,67.08,8.88
Cargo,Medium,62.38,97.0,34.2,24.3,4.98,Medium,239.04,7.3
Cargo,Medium,97.92,62.0,38.97,40.13,18.1,High,304.44,2.48
Container,Medium,81.35,77.0,17.58,14.81,2.87,Low,345.7,13.19
Cargo,Small,40.88,70.0,2.42,4.84,1.21,Low,273.24,8.19
Container,Large,171.66,89.0,29.96,26.01,4.93,Medium,189.83,9.79
Tanker,Large,113.83,99.0,22.61,26.44,5.87,Medium,64.88,8.8
Container,Small,44.23,70.0,17.92,39.86,9.82,Medium,123.74,1.96
Cargo,Medium,75.39,86.0,12.37,48.42,8.36,Medium,209.71,7.27
Cargo,Large,195.28,68.0,20.1,2.77,5.48,Low,462.06,17.81
Passenger,Small,31.37,83.0,13.55,29.58,8.09,Medium,101.3,2.33
Passenger,Medium,61.15,79.0,30.28,34.06,12.32,High,206.67,2.64
Cargo,Large,197.05,99.0,21.76,49.29,8.26,Medium,366.15,11.16
Passenger,Large,134.68,84.0,35.07,47.13,17.13,High,352.6,5.12
Tanker,Small,42.3,74.0,21.74,35.62,6.52,Medium,482.8,5.78
Cargo,Medium,73.94,65.0,9.53,26.09,3.27,Low,95.45,10.83
Passenger,Large,181.03,66.0,34.04,8.08,12.75,High,8.26,2.94
Tanker,Large,179.08,69.0,22.29,19.21,6.67,Medium,161.16,9.85
Passenger,Small,28.36,70.0,8.27,29.26,2.74,Low,74.85,5.28
Passenger,Large,140.46,94.0,24.94,36.26,4.98,Medium,274.23,10.67
Passenger,Large,165.24,82.0,14.31,31.77,7.53,Medium,449.39,12.79
Container,Large,152.1,81.0,33.78,35.71,14.3,High,344.11,5.61
Tanker,Small,34.5,65.0,18.13,21.46,5.87,Medium,67.9,2.16
Cargo,Large,186.92,94.0,29.06,36.38,15.14,High,58.05,2.89
Cargo,Large,182.64,89.0,3.82,7.19,1.37,Low,455.72,18.89
Passenger,Small,36.98,63.0,15.84,8.13,6.49,Medium,243.8,4.23
Passenger,Large,149.87,88.0,39.33,8.14,18.64,High,461.84,6.63
Container,Medium,79.18,82.0,32.34,44.54,16.34,High,368.11,3.54
Passenger,Small,42.06,63.0,6.4,3.8,2.14,Low,496.67,10.16
Tanker,Large,195.21,78.0,11.11,40.08,6.14,Medium,435.61,12.78
Tanker,Small,45.21,79.0,13.19,11.68,4.09,Low,207.11,6.57
Container,Medium,73.85,67.0,26.01,23.42,10.51,Medium,379.11,8.57
Tanker,Large,147.48,98.0,30.28,45.8,8.44,Medium,235.61,9.48
Passenger,Large,176.01,94.0,29.98,29.3,9.68,Medium,116.54,8.51
Passenger,Large,121.71,87.0,20.39,10.51,4.27,Low,120.51,14.35
Tanker,Large,116.52,78.0,32.43,14.2,4.45,Medium,198.66,10.04
Tanker,Small,35.65,76.0,17.48,46.02,8.16,Medium,55.73,1.35
Tanker,Medium,77.64,86.0,4.96,21.36,3.28,Low,88.88,11.09
Cargo,Medium,89.86,82.0,22.58,29.35,3.96,Medium,250.3,7.99
Cargo,Small,28.65,62.0,38.09,23.0,7.95,Medium,476.96,5.01
Cargo,Small,44.16,81.0,31.72,18.92,9.96,Medium,288.84,3.33
Container,Small,38.33,92.0,23.15,11.16,9.04,Medium,204.25,3.16
Container,Medium,99.86,78.0,25.87,34.31,6.07,Medium,121.35,6.23
Cargo,Small,45.87,62.0,37.22,35.91,6.36,Medium,97.95,1.16
Tanker,Small,43.4,91.0,17.13,13.74,5.96,Medium,329.2,4.96
Container,Large,132.99,68.0,13.26,39.45,7.64,Medium,424.16,12.43
Container,Medium,79.84,70.0,39.09,42.73,6.6,Medium,199.43,6.13
Tanker,Large,184.53,67.0,34.54,46.03,10.58,High,275.33,5.05
Tanker,Large,132.27,73.0,12.92,8.06,5.12,Low,353.36,17.01
Container,Small,29.35,90.0,18.55,15.2,3.59,Low,29.15,4.5
Container,Medium,59.12,81.0,16.6,43.02,5.38,Medium,175.45,7.13
Passenger,Small,45.96,68.0,5.96,9.93,2.37,Low,364.88,8.72
Tanker,Large,107.85,95.0,38.31,0.17,18.45,High,342.31,5.66
Container,Small,43.46,95.0,16.17,43.54,5.65,Medium,26.67,1.42
Passenger,Large,126.48,95.0,35.01,16.32,11.14,Medium,118.91,8.4
Container,Medium,84.01,70.0,7.57,20.72,3.0,Low,339.98,13.51
Tanker,Large,137.14,78.0,21.91,22.32,11.17,Medium,135.71,9.1
Container,Small,40.72,99.0,0.96,42.41,2.24,Low,407.21,8.75
Tanker,Medium,69.8,91.0,30.57,16.89,10.82,Medium,14.75,4.8
Container,Medium,82.41,61.0,23.24,44.61,12.42,High,95.17,1.66
Passenger,Large,160.92,63.0,25.02,30.85,13.93,High,140.66,4.15
Tanker,Medium,91.13,79.0,2.07,26.36,2.1,Low,462.64,14.99
Tanker,Small,35.57,96.0,8.44,16.28,2.94,Low,398.16,8.74
Cargo,Small,25.5,82.0,2.97,12.19,1.4,Low,442.07,9.69
Passenger,Medium,94.34,80.0,11.56,31.2,4.34,Low,220.24,11.77
Container,Large,191.35,64.0,25.1,22.34,9.69,Medium,411.28,11.84
Container,Small,20.44,86.0,22.65,45.53,11.24,High,426.75,2.1
Cargo,Small,48.81,93.0,24.49,24.58,11.71,Medium,199.98,2.51
Tanker,Medium,54.89,75.0,21.97,25.59,7.14,Medium,497.23,10.25
Passenger,Large,187.97,91.0,10.92,20.84,5.26,Low,425.62,17.57
Passenger,Medium,77.01,99.0,9.78,39.46,6.54,Medium,487.05,10.54
Cargo,Small,48.94,68.0,5.48,21.24,3.63,Low,433.25,9.07
Cargo,Small,36.66,81.0,33.96,13.47,13.63,High,388.1,1.55
Passenger,Small,37.0,71.0,24.66,43.1,10.9,High,471.92,2.53
Container,Small,26.13,92.0,7.46,29.84,3.82,Low,209.91,6.55
Container,Small,48.14,83.0,7.09,29.58,2.71,Low,391.67,8.5
Passenger,Small,48.74,85.0,34.92,30.54,6.75,Medium,106.45,1.43
Cargo,Medium,76.34,92.0,29.71,35.94,10.54,High,366.4,4.41
Container,Large,118.5,76.0,26.38,15.65,5.1,Medium,392.68,12.18
Container,Large,176.97,97.0,16.27,1.69,5.47,Low,358.26,16.99
Tanker,Medium,69.63,81.0,10.48,40.53,5.78,Medium,424.91,9.94
Cargo,Small,47.4,66.0,39.18,6.45,12.48,High,206.67,0.0
Container,Large,161.4,88.0,31.89,36.09,5.46,Medium,272.38,10.26
Cargo,Medium,61.64,92.0,12.07,4.12,1.69,Low,5.33,10.4
Tanker,Large,100.82,73.0,33.9,18.77,5.87,Medium,73.03,8.47
Passenger,Large,186.06,94.0,30.36,3.15,5.06,Medium,322.1,11.53
Cargo,Small,39.05,96.0,11.88,26.11,7.2,Medium,281.16,4.38
Cargo,Medium,64.34,71.0,17.06,32.66,5.69,Medium,98.67,6.51
Tanker,Medium,52.48,99.0,7.44,8.57,2.04,Low,121.73,11.67
Tanker,Large,149.87,66.0,4.44,18.58,1.47,Low,172.04,15.78
Cargo,Medium,72.71,68.0,28.91,46.51,12.56,High,358.21,3.95
Cargo,Medium,56.42,67.0,10.7,22.12,4.97,Low,304.86,12.77
Tanker,Large,119.74,96.0,32.8,40.13,7.59,Medium,34.79,7.55
Container,Large,144.62,86.0,39.82,46.36,20.94,High,379.97,4.79
Cargo,Medium,98.53,66.0,3.06,48.72,3.72,Low,131.33,11.01
Tanker,Medium,67.95,78.0,18.92,44.92,5.88,Medium,335.88,8.53
Passenger,Medium,57.49,85.0,32.08,15.87,10.24,Medium,61.68,5.27
Tanker,Large,138.39,63.0,31.56,48.13,11.35,High,498.96,7.31
Cargo,Small,46.5,95.0,30.4,40.62,9.31,Medium,40.17,0.54
Cargo,Large,199.29,92.0,13.96,41.86,8.05,Medium,370.87,11.77
Tanker,Large,154.23,80.0,18.15,0.76,2.65,Low,270.67,16.32
Tanker,Large,193.53,99.0,23.8,47.71,8.72,Medium,42.97,7.81
Cargo,Medium,65.78,77.0,38.96,38.9,12.51,High,13.41,0.16
Tanker,Medium,78.19,99.0,13.1,38.4,5.69,Medium,181.33,7.42
Passenger,Small,47.93,87.0,36.93,4.08,16.62,High,401.11,1.42
Tanker,Small,47.59,85.0,10.77,11.63,2.6,Low,20.58,4.97
Cargo,Medium,84.7,67.0,39.56,48.11,7.99,High,352.2,3.78
Container,Large,139.97,95.0,26.81,25.03,10.56,Medium,327.69,10.78
Tanker,Small,32.14,77.0,18.54,19.89,4.14,Low,132.77,5.39
Container,Medium,72.07,66.0,24.54,42.0,5.29,Medium,38.75,5.39
Cargo,Small,35.49,61.0,10.9,4.37,3.17,Low,457.66,9.43
Cargo,Large,150.32,82.0,10.97,20.85,3.1,Low,150.17,15.03
Cargo,Large,118.3,81.0,4.54,18.79,2.05,Low,55.69,14.55
Container,Small,33.38,89.0,4.56,17.49,1.8,Low,340.76,8.45
Tanker,Small,36.41,96.0,13.91,15.38,2.68,Low,108.34,5.61
Container,Small,47.31,63.0,30.51,10.5,10.41,Medium,237.82,3.0
Cargo,Small,40.12,89.0,24.32,8.65,3.13,Low,25.2,4.35
Cargo,Small,47.43,67.0,4.1,32.02,3.6,Low,496.49,9.56
Container,Medium,51.13,94.0,34.09,45.97,10.36,High,223.81,2.58
Passenger,Small,46.57,93.0,24.05,25.44,10.36,Medium,499.55,5.65
Cargo,Small,44.95,82.0,38.43,14.9,17.04,High,192.84,0.0
Cargo,Medium,54.52,88.0,26.81,7.96,6.07,Medium,173.93,7.23
Container,Small,38.43,73.0,7.01,41.51,4.88,Medium,457.29,6.3
Cargo,Large,168.53,79.0,18.95,48.57,10.63,Medium,164.73,9.07
Cargo,Medium,79.97,93.0,25.94,17.46,5.97,Medium,216.0,7.52
Passenger,Small,28.89,78.0,1.13,14.55,1.29,Low,39.06,5.71
Cargo,Small,32.99,74.0,0.6,30.07,1.57,Low,477.73,9.79
Cargo,Small,46.97,80.0,5.18,38.77,2.91,Low,42.58,4.9
Tanker,Medium,70.18,93.0,10.07,22.77,5.29,Low,385.59,13.57
Tanker,Small,48.92,73.0,17.18,31.5,4.63,Medium,269.31,4.14
Tanker,Large,169.11,67.0,19.5,35.83,9.19,Medium,30.7,8.1
Passenger,Large,198.53,88.0,5.52,48.03,4.84,Medium,0.85,8.69
Tanker,Small,44.36,93.0,26.94,8.25,13.44,Medium,467.78,5.22
Container,Large,112.01,64.0,23.85,49.87,9.4,Medium,371.09,10.98
Cargo,Medium,86.5,70.0,11.78,19.61,6.73,Medium,343.22,9.38
Container,Small,28.76,66.0,0.55,36.16,1.95,Low,219.28,7.05
Passenger,Large,196.44,74.0,3.11,28.62,2.01,Low,119.31,15.06
Tanker,Small,38.33,78.0,15.67,24.33,6.0,Medium,339.93,4.93
Container,Medium,81.42,90.0,6.16,34.9,3.96,Low,304.15,12.84
Passenger,Small,36.36,86.0,15.07,19.79,5.26,Medium,363.17,5.36
Passenger,Medium,71.84,85.0,25.13,6.31,8.53,Medium,182.9,7.19
Tanker,Small,44.43,74.0,21.89,24.44,7.06,Medium,493.46,6.05
Tanker,Large,171.41,94.0,9.25,26.1,4.17,Low,33.5,13.73
Container,Large,134.85,79.0,13.75,10.1,7.12,Medium,39.85,9.2
Tanker,Large,144.09,99.0,24.56,46.78,9.71,Medium,458.44,11.85
Cargo,Small,43.22,85.0,34.43,11.37,7.5,Medium,323.85,3.94
